LocationDesc,Current Smoking %,Gender,Race,Age,Education
Illinois,6.5,Overall,Asian/Pacific Islander,All Ages,All Grades
Illinois,,Overall,American Indian/Alaska Native,All Ages,All Grades
Indiana,22,Overall,White,All Ages,All Grades
Indiana,24.4,Overall,African American,All Ages,All Grades
Guam,33.1,Male,All Races,All Ages,All Grades
Indiana,12.7,Overall,Hispanic,All Ages,All Grades
Indiana,12.9,Overall,Asian/Pacific Islander,All Ages,All Grades
Indiana,,Overall,American Indian/Alaska Native,All Ages,All Grades
Iowa,17.9,Overall,White,All Ages,All Grades
Iowa,25.1,Overall,African American,All Ages,All Grades
Iowa,16.5,Overall,Hispanic,All Ages,All Grades
Iowa,20.9,Overall,Asian/Pacific Islander,All Ages,All Grades
Iowa,,Overall,American Indian/Alaska Native,All Ages,All Grades
Kansas,17.4,Overall,White,All Ages,All Grades
Kansas,25.3,Overall,African American,All Ages,All Grades
Kansas,15.1,Overall,Hispanic,All Ages,All Grades
Kansas,16.2,Overall,Asian/Pacific Islander,All Ages,All Grades
Kansas,27.6,Overall,American Indian/Alaska Native,All Ages,All Grades
Kentucky,25.7,Overall,White,All Ages,All Grades
Kentucky,26,Overall,African American,All Ages,All Grades
Kentucky,26.5,Overall,Hispanic,All Ages,All Grades
Kentucky,30.7,Overall,Asian/Pacific Islander,All Ages,All Grades
Kentucky,33.6,Overall,American Indian/Alaska Native,All Ages,All Grades
Louisiana,23.1,Overall,White,All Ages,All Grades
Guam,17,Female,All Races,All Ages,All Grades
Louisiana,23,Overall,African American,All Ages,All Grades
Louisiana,21.6,Overall,Hispanic,All Ages,All Grades
Louisiana,17.4,Overall,Asian/Pacific Islander,All Ages,All Grades
Louisiana,40.3,Overall,American Indian/Alaska Native,All Ages,All Grades
Maine,18.7,Overall,White,All Ages,All Grades
Maine,21.9,Overall,African American,All Ages,All Grades
Maine,29.4,Overall,Hispanic,All Ages,All Grades
Maine,29.2,Overall,Asian/Pacific Islander,All Ages,All Grades
Maine,42.2,Overall,American Indian/Alaska Native,All Ages,All Grades
Maryland,16.2,Overall,White,All Ages,All Grades
Maryland,16,Overall,African American,All Ages,All Grades
Maryland,9.2,Overall,Hispanic,All Ages,All Grades
Maryland,6.6,Overall,Asian/Pacific Islander,All Ages,All Grades
Maryland,10.1,Overall,American Indian/Alaska Native,All Ages,All Grades
Massachusetts,14.5,Overall,White,All Ages,All Grades
Massachusetts,16.1,Overall,African American,All Ages,All Grades
Massachusetts,14.3,Overall,Hispanic,All Ages,All Grades
Massachusetts,6.9,Overall,Asian/Pacific Islander,All Ages,All Grades
Massachusetts,33.9,Overall,American Indian/Alaska Native,All Ages,All Grades
Montana,16.6,Overall,White,All Ages,All Grades
Michigan,19.9,Overall,White,All Ages,All Grades
Michigan,24.2,Overall,African American,All Ages,All Grades
Michigan,25.4,Overall,Hispanic,All Ages,All Grades
Michigan,18.5,Overall,Asian/Pacific Islander,All Ages,All Grades
Michigan,42.1,Overall,American Indian/Alaska Native,All Ages,All Grades
Minnesota,15.8,Overall,White,All Ages,All Grades
Minnesota,21.6,Overall,African American,All Ages,All Grades
Minnesota,15.6,Overall,Hispanic,All Ages,All Grades
Minnesota,12.2,Overall,Asian/Pacific Islander,All Ages,All Grades
Minnesota,38.5,Overall,American Indian/Alaska Native,All Ages,All Grades
Mississippi,23.9,Overall,White,All Ages,All Grades
Mississippi,21.5,Overall,African American,All Ages,All Grades
Mississippi,13.4,Overall,Hispanic,All Ages,All Grades
Mississippi,22.4,Overall,Asian/Pacific Islander,All Ages,All Grades
Mississippi,,Overall,American Indian/Alaska Native,All Ages,All Grades
Missouri,21.3,Overall,White,All Ages,All Grades
Missouri,23.5,Overall,African American,All Ages,All Grades
Missouri,21.5,Overall,Hispanic,All Ages,All Grades
Missouri,6.7,Overall,Asian/Pacific Islander,All Ages,All Grades
Texas,16.7,Overall,White,All Ages,All Grades
Missouri,42.2,Overall,American Indian/Alaska Native,All Ages,All Grades
Montana,17.6,Overall,White,All Ages,All Grades
Montana,,Overall,African American,All Ages,All Grades
Montana,30.3,Overall,Hispanic,All Ages,All Grades
Montana,37.7,Overall,Asian/Pacific Islander,All Ages,All Grades
Montana,36.9,Overall,American Indian/Alaska Native,All Ages,All Grades
Nebraska,16.9,Overall,White,All Ages,All Grades
Nebraska,20.9,Overall,African American,All Ages,All Grades
Nebraska,14.6,Overall,Hispanic,All Ages,All Grades
Nebraska,21.1,Overall,Asian/Pacific Islander,All Ages,All Grades
Nebraska,27.6,Overall,American Indian/Alaska Native,All Ages,All Grades
Nevada,17.4,Overall,White,All Ages,All Grades
Nevada,26,Overall,African American,All Ages,All Grades
Nevada,15,Overall,Hispanic,All Ages,All Grades
Nevada,15.2,Overall,Asian/Pacific Islander,All Ages,All Grades
Nevada,26.5,Overall,American Indian/Alaska Native,All Ages,All Grades
New Hampshire,16.6,Overall,White,All Ages,All Grades
New Hampshire,22.4,Overall,African American,All Ages,All Grades
New Hampshire,11.3,Overall,Hispanic,All Ages,All Grades
New Hampshire,16.1,Overall,Asian/Pacific Islander,All Ages,All Grades
New Hampshire,,Overall,American Indian/Alaska Native,All Ages,All Grades
New Jersey,14.9,Overall,White,All Ages,All Grades
New Jersey,18.1,Overall,African American,All Ages,All Grades
New Jersey,12.6,Overall,Hispanic,All Ages,All Grades
New Jersey,8.8,Overall,Asian/Pacific Islander,All Ages,All Grades
New Jersey,11.1,Overall,American Indian/Alaska Native,All Ages,All Grades
New Mexico,17.9,Overall,White,All Ages,All Grades
New Mexico,33.4,Overall,African American,All Ages,All Grades
New Mexico,19,Overall,Hispanic,All Ages,All Grades
New Mexico,11.6,Overall,Asian/Pacific Islander,All Ages,All Grades
New Mexico,12.4,Overall,American Indian/Alaska Native,All Ages,All Grades
New York,15.5,Overall,White,All Ages,All Grades
New York,16,Overall,African American,All Ages,All Grades
New York,14.2,Overall,Hispanic,All Ages,All Grades
New York,8.9,Overall,Asian/Pacific Islander,All Ages,All Grades
New York,22.8,Overall,American Indian/Alaska Native,All Ages,All Grades
North Carolina,19.5,Overall,White,All Ages,All Grades
North Carolina,21.1,Overall,African American,All Ages,All Grades
North Carolina,10.1,Overall,Hispanic,All Ages,All Grades
North Carolina,12.1,Overall,Asian/Pacific Islander,All Ages,All Grades
North Carolina,29.6,Overall,American Indian/Alaska Native,All Ages,All Grades
North Dakota,17.4,Overall,White,All Ages,All Grades
North Dakota,18.9,Overall,African American,All Ages,All Grades
North Dakota,35,Overall,Hispanic,All Ages,All Grades
North Dakota,36.1,Overall,Asian/Pacific Islander,All Ages,All Grades
North Dakota,41,Overall,American Indian/Alaska Native,All Ages,All Grades
Ohio,20.5,Overall,White,All Ages,All Grades
Ohio,25.1,Overall,African American,All Ages,All Grades
Ohio,25.2,Overall,Hispanic,All Ages,All Grades
Ohio,13.9,Overall,Asian/Pacific Islander,All Ages,All Grades
Ohio,36.6,Overall,American Indian/Alaska Native,All Ages,All Grades
Oklahoma,20.9,Overall,White,All Ages,All Grades
Oklahoma,25.3,Overall,African American,All Ages,All Grades
Oklahoma,15.2,Overall,Hispanic,All Ages,All Grades
Oklahoma,19.9,Overall,Asian/Pacific Islander,All Ages,All Grades
Oklahoma,32,Overall,American Indian/Alaska Native,All Ages,All Grades
Oregon,16.9,Overall,White,All Ages,All Grades
Alabama,15.7,Overall,All Races,Age 25 and Older,> 12th Grade
Oregon,25.6,Overall,African American,All Ages,All Grades
Oregon,14.2,Overall,Hispanic,All Ages,All Grades
Oregon,14.4,Overall,Asian/Pacific Islander,All Ages,All Grades
Oregon,24.6,Overall,American Indian/Alaska Native,All Ages,All Grades
Pennsylvania,18.2,Overall,White,All Ages,All Grades
Pennsylvania,24.8,Overall,African American,All Ages,All Grades
Pennsylvania,25.2,Overall,Hispanic,All Ages,All Grades
Pennsylvania,8.3,Overall,Asian/Pacific Islander,All Ages,All Grades
Pennsylvania,,Overall,American Indian/Alaska Native,All Ages,All Grades
Puerto Rico,16.6,Overall,White,All Ages,All Grades
Puerto Rico,,Overall,African American,All Ages,All Grades
Puerto Rico,10.9,Overall,Hispanic,All Ages,All Grades
Puerto Rico,,Overall,Asian/Pacific Islander,All Ages,All Grades
Puerto Rico,,Overall,American Indian/Alaska Native,All Ages,All Grades
Rhode Island,15.9,Overall,White,All Ages,All Grades
Rhode Island,20.1,Overall,African American,All Ages,All Grades
Rhode Island,12.2,Overall,Hispanic,All Ages,All Grades
Rhode Island,14.1,Overall,Asian/Pacific Islander,All Ages,All Grades
Rhode Island,25.6,Overall,American Indian/Alaska Native,All Ages,All Grades
South Carolina,20.3,Overall,White,All Ages,All Grades
South Carolina,20.8,Overall,African American,All Ages,All Grades
South Carolina,15.5,Overall,Hispanic,All Ages,All Grades
South Carolina,20.3,Overall,Asian/Pacific Islander,All Ages,All Grades
South Carolina,33.5,Overall,American Indian/Alaska Native,All Ages,All Grades
South Dakota,17.2,Overall,White,All Ages,All Grades
South Dakota,,Overall,African American,All Ages,All Grades
South Dakota,16.5,Overall,Hispanic,All Ages,All Grades
South Dakota,35,Overall,Asian/Pacific Islander,All Ages,All Grades
South Dakota,41.5,Overall,American Indian/Alaska Native,All Ages,All Grades
Tennessee,23.7,Overall,White,All Ages,All Grades
Tennessee,20.2,Overall,African American,All Ages,All Grades
Tennessee,16.3,Overall,Hispanic,All Ages,All Grades
Tennessee,13.6,Overall,Asian/Pacific Islander,All Ages,All Grades
Tennessee,50.2,Overall,American Indian/Alaska Native,All Ages,All Grades
Texas,16.5,Overall,White,All Ages,All Grades
Texas,15.5,Overall,African American,All Ages,All Grades
Texas,13.2,Overall,Hispanic,All Ages,All Grades
Texas,7.4,Overall,Asian/Pacific Islander,All Ages,All Grades
Texas,31.5,Overall,American Indian/Alaska Native,All Ages,All Grades
Utah,9,Overall,White,All Ages,All Grades
Utah,17.2,Overall,African American,All Ages,All Grades
Utah,10.3,Overall,Hispanic,All Ages,All Grades
Utah,9.2,Overall,Asian/Pacific Islander,All Ages,All Grades
Utah,14.8,Overall,American Indian/Alaska Native,All Ages,All Grades
Vermont,15.9,Overall,White,All Ages,All Grades
Vermont,22,Overall,African American,All Ages,All Grades
Vermont,8.8,Overall,Hispanic,All Ages,All Grades
Vermont,22.6,Overall,Asian/Pacific Islander,All Ages,All Grades
Vermont,34.5,Overall,American Indian/Alaska Native,All Ages,All Grades
Virginia,18.5,Overall,White,All Ages,All Grades
Virginia,19.4,Overall,African American,All Ages,All Grades
Virginia,15.3,Overall,Hispanic,All Ages,All Grades
Virginia,13,Overall,Asian/Pacific Islander,All Ages,All Grades
Virginia,22,Overall,American Indian/Alaska Native,All Ages,All Grades
Washington,15,Overall,White,All Ages,All Grades
Washington,19.7,Overall,African American,All Ages,All Grades
Washington,13,Overall,Hispanic,All Ages,All Grades
Washington,12.1,Overall,Asian/Pacific Islander,All Ages,All Grades
Washington,33.3,Overall,American Indian/Alaska Native,All Ages,All Grades
West Virginia,26,Overall,White,All Ages,All Grades
West Virginia,28.2,Overall,African American,All Ages,All Grades
West Virginia,28.1,Overall,Hispanic,All Ages,All Grades
West Virginia,28.5,Overall,Asian/Pacific Islander,All Ages,All Grades
West Virginia,,Overall,American Indian/Alaska Native,All Ages,All Grades
Wisconsin,16.2,Overall,White,All Ages,All Grades
Wisconsin,35.8,Overall,African American,All Ages,All Grades
Wisconsin,13.7,Overall,Hispanic,All Ages,All Grades
Wisconsin,17.5,Overall,Asian/Pacific Islander,All Ages,All Grades
Wisconsin,46.4,Overall,American Indian/Alaska Native,All Ages,All Grades
Wyoming,18.4,Overall,White,All Ages,All Grades
Wyoming,46.7,Overall,African American,All Ages,All Grades
Wyoming,16.5,Overall,Hispanic,All Ages,All Grades
Wyoming,33.4,Overall,Asian/Pacific Islander,All Ages,All Grades
Wyoming,32.4,Overall,American Indian/Alaska Native,All Ages,All Grades
Alabama,21.9,Overall,White,All Ages,All Grades
Alabama,15.6,Overall,Hispanic,All Ages,All Grades
Alabama,14.7,Overall,Asian/Pacific Islander,All Ages,All Grades
Alabama,26.9,Overall,American Indian/Alaska Native,All Ages,All Grades
Alabama,21.3,Overall,African American,All Ages,All Grades
Alaska,21.4,Overall,African American,All Ages,All Grades
Alaska,37.9,Overall,American Indian/Alaska Native,All Ages,All Grades
Alaska,28.1,Overall,Asian/Pacific Islander,All Ages,All Grades
Alaska,18.2,Overall,Hispanic,All Ages,All Grades
Alaska,17.7,Overall,White,All Ages,All Grades
Arizona,15.7,Overall,African American,All Ages,All Grades
Arizona,12.5,Overall,American Indian/Alaska Native,All Ages,All Grades
Arizona,16.1,Overall,Asian/Pacific Islander,All Ages,All Grades
Arizona,15.4,Overall,Hispanic,All Ages,All Grades
Arizona,16.6,Overall,White,All Ages,All Grades
Arkansas,25.8,Overall,African American,All Ages,All Grades
Arkansas,30.5,Overall,American Indian/Alaska Native,All Ages,All Grades
Arkansas,20.9,Overall,Asian/Pacific Islander,All Ages,All Grades
Arkansas,17,Overall,Hispanic,All Ages,All Grades
Arkansas,25.7,Overall,White,All Ages,All Grades
California,19.1,Overall,African American,All Ages,All Grades
California,26.5,Overall,American Indian/Alaska Native,All Ages,All Grades
Alabama,51.7,Overall,All Races,All Ages,All Grades
California,9.5,Overall,Asian/Pacific Islander,All Ages,All Grades
California,10.8,Overall,Hispanic,All Ages,All Grades
California,14.1,Overall,White,All Ages,All Grades
Colorado,24.8,Overall,African American,All Ages,All Grades
Colorado,23.2,Overall,American Indian/Alaska Native,All Ages,All Grades
Colorado,13,Overall,Asian/Pacific Islander,All Ages,All Grades
Colorado,18.1,Overall,Hispanic,All Ages,All Grades
Colorado,15.7,Overall,White,All Ages,All Grades
Connecticut,19.2,Overall,African American,All Ages,All Grades
Connecticut,,Overall,American Indian/Alaska Native,All Ages,All Grades
Connecticut,10.3,Overall,Asian/Pacific Islander,All Ages,All Grades
Connecticut,20.6,Overall,Hispanic,All Ages,All Grades
Connecticut,14.2,Overall,White,All Ages,All Grades
Delaware,20,Overall,African American,All Ages,All Grades
Delaware,,Overall,American Indian/Alaska Native,All Ages,All Grades
Delaware,5.1,Overall,Asian/Pacific Islander,All Ages,All Grades
Delaware,16.2,Overall,Hispanic,All Ages,All Grades
Delaware,20.4,Overall,White,All Ages,All Grades
District of Columbia,27.3,Overall,African American,All Ages,All Grades
District of Columbia,,Overall,American Indian/Alaska Native,All Ages,All Grades
District of Columbia,2.7,Overall,Asian/Pacific Islander,All Ages,All Grades
District of Columbia,12.2,Overall,Hispanic,All Ages,All Grades
District of Columbia,8.6,Overall,White,All Ages,All Grades
Florida,14.8,Overall,African American,All Ages,All Grades
Florida,40,Overall,American Indian/Alaska Native,All Ages,All Grades
Florida,11.5,Overall,Asian/Pacific Islander,All Ages,All Grades
Florida,14.6,Overall,Hispanic,All Ages,All Grades
Florida,18.7,Overall,White,All Ages,All Grades
Georgia,16,Overall,African American,All Ages,All Grades
Georgia,,Overall,American Indian/Alaska Native,All Ages,All Grades
Georgia,9.8,Overall,Asian/Pacific Islander,All Ages,All Grades
Georgia,14.5,Overall,Hispanic,All Ages,All Grades
Georgia,20,Overall,White,All Ages,All Grades
Guam,20,Overall,White,All Ages,All Grades
Guam,,Overall,African American,All Ages,All Grades
Guam,33.7,Overall,Hispanic,All Ages,All Grades
Guam,25.1,Overall,Asian/Pacific Islander,All Ages,All Grades
Guam,32.4,Overall,American Indian/Alaska Native,All Ages,All Grades
Hawaii,17.3,Overall,African American,All Ages,All Grades
Hawaii,19.8,Overall,American Indian/Alaska Native,All Ages,All Grades
Hawaii,9.8,Overall,Asian/Pacific Islander,All Ages,All Grades
Hawaii,20.1,Overall,Hispanic,All Ages,All Grades
Hawaii,11,Overall,White,All Ages,All Grades
Idaho,16.2,Overall,White,All Ages,All Grades
Idaho,12.8,Overall,Hispanic,All Ages,All Grades
Idaho,30.7,Overall,Asian/Pacific Islander,All Ages,All Grades
Idaho,34.3,Overall,American Indian/Alaska Native,All Ages,All Grades
Idaho,,Overall,African American,All Ages,All Grades
Illinois,22.6,Overall,African American,All Ages,All Grades
Illinois,,Overall,American Indian/Alaska Native,All Ages,All Grades
Illinois,10.9,Overall,Asian/Pacific Islander,All Ages,All Grades
Illinois,12,Overall,Hispanic,All Ages,All Grades
Illinois,17.7,Overall,White,All Ages,All Grades
Indiana,22.6,Overall,White,All Ages,All Grades
Indiana,14.7,Overall,Hispanic,All Ages,All Grades
Indiana,16.5,Overall,Asian/Pacific Islander,All Ages,All Grades
Indiana,24.6,Overall,American Indian/Alaska Native,All Ages,All Grades
Indiana,26,Overall,African American,All Ages,All Grades
Iowa,23.3,Overall,African American,All Ages,All Grades
Iowa,,Overall,American Indian/Alaska Native,All Ages,All Grades
Iowa,20.3,Overall,Asian/Pacific Islander,All Ages,All Grades
Iowa,15.8,Overall,Hispanic,All Ages,All Grades
Iowa,18.9,Overall,White,All Ages,All Grades
Kansas,28.1,Overall,African American,All Ages,All Grades
Kansas,35.4,Overall,American Indian/Alaska Native,All Ages,All Grades
Kansas,18.8,Overall,Asian/Pacific Islander,All Ages,All Grades
Kansas,15.7,Overall,Hispanic,All Ages,All Grades
Kansas,18.4,Overall,White,All Ages,All Grades
Kentucky,26.8,Overall,African American,All Ages,All Grades
Kentucky,45.1,Overall,American Indian/Alaska Native,All Ages,All Grades
Kentucky,23.4,Overall,Asian/Pacific Islander,All Ages,All Grades
Kentucky,23.4,Overall,Hispanic,All Ages,All Grades
Kentucky,26.2,Overall,White,All Ages,All Grades
Louisiana,22.6,Overall,African American,All Ages,All Grades
Louisiana,30.7,Overall,American Indian/Alaska Native,All Ages,All Grades
Louisiana,19.5,Overall,Asian/Pacific Islander,All Ages,All Grades
Louisiana,20.7,Overall,Hispanic,All Ages,All Grades
Louisiana,24.4,Overall,White,All Ages,All Grades
Maine,19.3,Overall,White,All Ages,All Grades
Maine,29.6,Overall,Hispanic,All Ages,All Grades
Maine,24.2,Overall,Asian/Pacific Islander,All Ages,All Grades
Maine,39.9,Overall,American Indian/Alaska Native,All Ages,All Grades
Maine,18.7,Overall,African American,All Ages,All Grades
Maryland,17.1,Overall,African American,All Ages,All Grades
Maryland,20,Overall,American Indian/Alaska Native,All Ages,All Grades
Maryland,10,Overall,Asian/Pacific Islander,All Ages,All Grades
Maryland,9.6,Overall,Hispanic,All Ages,All Grades
Maryland,16.1,Overall,White,All Ages,All Grades
Massachusetts,15.6,Overall,White,All Ages,All Grades
Massachusetts,16.3,Overall,Hispanic,All Ages,All Grades
Massachusetts,8.3,Overall,Asian/Pacific Islander,All Ages,All Grades
Massachusetts,20.3,Overall,American Indian/Alaska Native,All Ages,All Grades
Massachusetts,18.7,Overall,African American,All Ages,All Grades
Michigan,24.1,Overall,African American,All Ages,All Grades
Michigan,60.1,Overall,American Indian/Alaska Native,All Ages,All Grades
Alabama,53.6,Male,All Races,All Ages,All Grades
Michigan,14.5,Overall,Asian/Pacific Islander,All Ages,All Grades
Michigan,25.9,Overall,Hispanic,All Ages,All Grades
Michigan,20.3,Overall,White,All Ages,All Grades
Minnesota,22.3,Overall,African American,All Ages,All Grades
Minnesota,36.9,Overall,American Indian/Alaska Native,All Ages,All Grades
Minnesota,13.2,Overall,Asian/Pacific Islander,All Ages,All Grades
Minnesota,15.6,Overall,Hispanic,All Ages,All Grades
Minnesota,16.9,Overall,White,All Ages,All Grades
Mississippi,22.2,Overall,African American,All Ages,All Grades
Mississippi,,Overall,American Indian/Alaska Native,All Ages,All Grades
Mississippi,13.7,Overall,Asian/Pacific Islander,All Ages,All Grades
Mississippi,14.4,Overall,Hispanic,All Ages,All Grades
Mississippi,25.4,Overall,White,All Ages,All Grades
Missouri,21.8,Overall,African American,All Ages,All Grades
Missouri,20.4,Overall,American Indian/Alaska Native,All Ages,All Grades
Missouri,9,Overall,Asian/Pacific Islander,All Ages,All Grades
Missouri,25.7,Overall,Hispanic,All Ages,All Grades
Missouri,19.8,Overall,White,All Ages,All Grades
Montana,17.6,Overall,White,All Ages,All Grades
Montana,31.7,Overall,Hispanic,All Ages,All Grades
Montana,32.4,Overall,Asian/Pacific Islander,All Ages,All Grades
Montana,42.8,Overall,American Indian/Alaska Native,All Ages,All Grades
Montana,,Overall,African American,All Ages,All Grades
Nebraska,21,Overall,African American,All Ages,All Grades
Nebraska,45.3,Overall,American Indian/Alaska Native,All Ages,All Grades
Nebraska,16.5,Overall,Asian/Pacific Islander,All Ages,All Grades
Nebraska,13.8,Overall,Hispanic,All Ages,All Grades
Nebraska,17.8,Overall,White,All Ages,All Grades
Nevada,18.7,Overall,White,All Ages,All Grades
Nevada,15.6,Overall,Hispanic,All Ages,All Grades
Nevada,16.7,Overall,Asian/Pacific Islander,All Ages,All Grades
Nevada,29.9,Overall,American Indian/Alaska Native,All Ages,All Grades
Nevada,23.6,Overall,African American,All Ages,All Grades
New Hampshire,24.8,Overall,African American,All Ages,All Grades
New Hampshire,,Overall,American Indian/Alaska Native,All Ages,All Grades
New Hampshire,16.9,Overall,Asian/Pacific Islander,All Ages,All Grades
New Hampshire,16.7,Overall,Hispanic,All Ages,All Grades
New Hampshire,16.6,Overall,White,All Ages,All Grades
New Jersey,17.8,Overall,African American,All Ages,All Grades
New Jersey,22.5,Overall,American Indian/Alaska Native,All Ages,All Grades
New Jersey,9.2,Overall,Asian/Pacific Islander,All Ages,All Grades
New Jersey,14,Overall,Hispanic,All Ages,All Grades
New Jersey,16.3,Overall,White,All Ages,All Grades
New Mexico,19.4,Overall,White,All Ages,All Grades
New Mexico,19.9,Overall,Hispanic,All Ages,All Grades
New Mexico,11.6,Overall,Asian/Pacific Islander,All Ages,All Grades
New Mexico,12.3,Overall,American Indian/Alaska Native,All Ages,All Grades
New Mexico,25.6,Overall,African American,All Ages,All Grades
New York,17.2,Overall,African American,All Ages,All Grades
New York,22.6,Overall,American Indian/Alaska Native,All Ages,All Grades
New York,10.3,Overall,Asian/Pacific Islander,All Ages,All Grades
New York,15.1,Overall,Hispanic,All Ages,All Grades
New York,15.8,Overall,White,All Ages,All Grades
North Carolina,21.1,Overall,African American,All Ages,All Grades
North Carolina,22.2,Overall,American Indian/Alaska Native,All Ages,All Grades
North Carolina,12.3,Overall,Asian/Pacific Islander,All Ages,All Grades
North Carolina,11.4,Overall,Hispanic,All Ages,All Grades
North Carolina,20.4,Overall,White,All Ages,All Grades
North Dakota,22.7,Overall,African American,All Ages,All Grades
North Dakota,45.7,Overall,American Indian/Alaska Native,All Ages,All Grades
North Dakota,35.2,Overall,Asian/Pacific Islander,All Ages,All Grades
North Dakota,39.5,Overall,Hispanic,All Ages,All Grades
North Dakota,18.7,Overall,White,All Ages,All Grades
Ohio,21.8,Overall,White,All Ages,All Grades
Ohio,22.5,Overall,Hispanic,All Ages,All Grades
Ohio,21.3,Overall,Asian/Pacific Islander,All Ages,All Grades
Ohio,31.1,Overall,American Indian/Alaska Native,All Ages,All Grades
Ohio,23.8,Overall,African American,All Ages,All Grades
Oklahoma,25.7,Overall,African American,All Ages,All Grades
Oklahoma,26.4,Overall,American Indian/Alaska Native,All Ages,All Grades
Oklahoma,29,Overall,Asian/Pacific Islander,All Ages,All Grades
Oklahoma,16.1,Overall,Hispanic,All Ages,All Grades
Oklahoma,21.3,Overall,White,All Ages,All Grades
Oregon,26.4,Overall,African American,All Ages,All Grades
Oregon,,Overall,American Indian/Alaska Native,All Ages,All Grades
